⌚	наручний годинник	годинник|наручний годинник
⌛	пісковий годинник	відлік часу|пісковий годинник|пісок|пісочний годинник|таймер
⏩	кнопка перемотування вперед	вперед|дві|кнопка «Перемотати вперед»|кнопка мотання вперед|кнопка перемотування вперед|перемотати|стрілка
⏪	кнопка перемотування назад	дві|кнопка «Швидко назад»|кнопка мотання назад|кнопка перемотування назад|перемотати|подвійна стрілка назад|стрілка
⏫	кнопка мотання вгору	дві|кнопка «Швидко вгору»|кнопка мотання вгору|подвійна стрілка|стрілка
⏬	кнопка мотання вниз	вниз|дві|кнопка «Швидко вниз»|кнопка мотання вниз|стрілка|стрілки донизу
⏰	будильник	будильник|годинник
⏳	пісковий годинник із піском, який сиплеться	години|готово|життя одне|не|очікування|пісковий годинник|пісок|сипання|таймер
◽	менший за середній білий квадрат	білий квадрат|геометричний|квадрат|менший за середній білий квадрат
◾	менший за середній чорний квадрат	геометричний|квадрат|менший за середній чорний квадрат|чорний квадрат
☔	парасолька з краплями дощу	дощ|крапля|одяг|парасолька|парасолька з краплями дощу|погода
☕	гарячий напій	гарячий|кава|кафе|кофеїн|напій|паруючий|пити|сніданок|чай
♈	Овен	баран|гороскоп|знак зодіаку|зодіак|овен|Овен
♉	Телець	бик|віл|гороскоп|знак зодіаку телець|зодіак|телець|Телець
♊	Близнюки	близнюки|Близнюки|гороскоп|зодіак
♋	Рак	гороскоп|знак зодіаку|зодіак|краб|рак|Рак
♌	Лев (знак зодіаку)	гороскоп|зодіак|лев|Лев|Лев (знак зодіаку)
♍	Діва	гороскоп|діва|Діва|зодіак
♎	Терези	гороскоп|знак зодіаку терези|зодіак|рівновага|справедливість|терези|Терези
♏	Скорпіон (знак зодіаку)	гороскоп|знак зодіаку скорпіон|зодіак|скорпіон|Скорпіон (знак зодіаку)
♐	Стрілець	гороскоп|зодіак|стрілець|Стрілець
♑	Козоріг	гороскоп|знак зодіаку|зодіак|коза|козеріг|Козеріг|Козоріг
♒	Водолій	вода|водолій|Водолій|гороскоп|знак зодіаку водолій|зодіак|носій
♓	Риби	гороскоп|знак зодіаку|зодіак|риба|риби|Риби
♿	символ крісла-візка	доступність|інвалідне крісло|символ візка|символ крісла-візка
⚓	якір	знаряддя|корабель|якір
⚡	висока напруга	блискавка|висока напруга|електрика|електричний|напруга|небезпека
⚪	білий круг	біле|білий круг|геометричний|коло
